"order_id","order_date","required_date","shipped_date","company_name","category_name","country","product_name","discount"
10260,"1996-07-19","1996-08-16","1996-07-29","Ottilies Käseladen","Grains/Cereals","Germany","Ravioli Angelo","0"
10260,"1996-07-19","1996-08-16","1996-07-29","Ottilies Käseladen","Confections","Germany","Tarte au sucre","0.25"
10260,"1996-07-19","1996-08-16","1996-07-29","Ottilies Käseladen","Beverages","Germany","Outback Lager","0.25"
10261,"1996-07-19","1996-08-16","1996-07-30","Que Delícia","Confections","Brazil","Sir Rodney's Scones","0"
10261,"1996-07-19","1996-08-16","1996-07-30","Que Delícia","Beverages","Brazil","Steeleye Stout","0"
10262,"1996-07-22","1996-08-19","1996-07-25","Rattlesnake Canyon Grocery","Condiments","USA","Chef Anton's Gumbo Mix","0.2"
10262,"1996-07-22","1996-08-19","1996-07-25","Rattlesnake Canyon Grocery","Produce","USA","Uncle Bob's Organic Dried Pears","0"
10262,"1996-07-22","1996-08-19","1996-07-25","Rattlesnake Canyon Grocery","Grains/Cereals","USA","Gnocchi di nonna Alice","0"
10263,"1996-07-23","1996-08-20","1996-07-31","Ernst Handel","Confections","Austria","Pavlova","0.25"
10263,"1996-07-23","1996-08-20","1996-07-31","Ernst Handel","Beverages","Austria","Guaraná Fantástica","0"
10263,"1996-07-23","1996-08-20","1996-07-31","Ernst Handel","Seafood","Austria","Nord-Ost Matjeshering","0.25"
10263,"1996-07-23","1996-08-20","1996-07-31","Ernst Handel","Produce","Austria","Longlife Tofu","0.25"
10264,"1996-07-24","1996-08-21","1996-08-23","Folk och fä HB","Beverages","Sweden","Chang","0"
10264,"1996-07-24","1996-08-21","1996-08-23","Folk och fä HB","Seafood","Sweden","Jack's New England Clam Chowder","0.15"
10265,"1996-07-25","1996-08-22","1996-08-12","Blondesddsl père et fils","Meat/Poultry","France","Alice Mutton","0"
10265,"1996-07-25","1996-08-22","1996-08-12","Blondesddsl père et fils","Beverages","France","Outback Lager","0"
10266,"1996-07-26","1996-09-06","1996-07-31","Wartian Herkku","Dairy Products","Finland","Queso Manchego La Pastora","0.05"
10267,"1996-07-29","1996-08-26","1996-08-06","Frankenversand","Seafood","Germany","Boston Crab Meat","0"
10267,"1996-07-29","1996-08-26","1996-08-06","Frankenversand","Dairy Products","Germany","Raclette Courdavault","0.15"
10267,"1996-07-29","1996-08-26","1996-08-06","Frankenversand","Beverages","Germany","Lakkalikööri","0.15"
10268,"1996-07-30","1996-08-27","1996-08-02","GROSELLA-Restaurante","Meat/Poultry","Venezuela","Thüringer Rostbratwurst","0"
10268,"1996-07-30","1996-08-27","1996-08-02","GROSELLA-Restaurante","Dairy Products","Venezuela","Mozzarella di Giovanni","0"
10269,"1996-07-31","1996-08-14","1996-08-09","White Clover Markets","Dairy Products","USA","Geitost","0.05"
10269,"1996-07-31","1996-08-14","1996-08-09","White Clover Markets","Dairy Products","USA","Mozzarella di Giovanni","0.05"
10270,"1996-08-01","1996-08-29","1996-08-02","Wartian Herkku","Seafood","Finland","Inlagd Sill","0"
10270,"1996-08-01","1996-08-29","1996-08-02","Wartian Herkku","Beverages","Finland","Ipoh Coffee","0"
10271,"1996-08-01","1996-08-29","1996-08-30","Split Rail Beer & Ale","Dairy Products","USA","Geitost","0"
10272,"1996-08-02","1996-08-30","1996-08-06","Rattlesnake Canyon Grocery","Confections","USA","Sir Rodney's Marmalade","0"
10272,"1996-08-02","1996-08-30","1996-08-06","Rattlesnake Canyon Grocery","Dairy Products","USA","Gorgonzola Telino","0"
10272,"1996-08-02","1996-08-30","1996-08-06","Rattlesnake Canyon Grocery","Dairy Products","USA","Mozzarella di Giovanni","0"
10273,"1996-08-05","1996-09-02","1996-08-12","QUICK-Stop","Seafood","Germany","Ikura","0.05"
10273,"1996-08-05","1996-09-02","1996-08-12","QUICK-Stop","Dairy Products","Germany","Gorgonzola Telino","0.05"
10273,"1996-08-05","1996-09-02","1996-08-12","QUICK-Stop","Dairy Products","Germany","Geitost","0"
10273,"1996-08-05","1996-09-02","1996-08-12","QUICK-Stop","Seafood","Germany","Boston Crab Meat","0.05"
10273,"1996-08-05","1996-09-02","1996-08-12","QUICK-Stop","Beverages","Germany","Lakkalikööri","0.05"
10274,"1996-08-06","1996-09-03","1996-08-16","Vins et alcools Chevalier","Dairy Products","France","Flotemysost","0"
10274,"1996-08-06","1996-09-03","1996-08-16","Vins et alcools Chevalier","Dairy Products","France","Mozzarella di Giovanni","0"
10275,"1996-08-07","1996-09-04","1996-08-09","Magazzini Alimentari Riuniti","Beverages","Italy","Guaraná Fantástica","0.05"
10275,"1996-08-07","1996-09-04","1996-08-09","Magazzini Alimentari Riuniti","Dairy Products","Italy","Raclette Courdavault","0.05"
10276,"1996-08-08","1996-08-22","1996-08-14","Tortuga Restaurante","Seafood","Mexico","Ikura","0"
10276,"1996-08-08","1996-08-22","1996-08-14","Tortuga Restaurante","Seafood","Mexico","Konbu","0"
10277,"1996-08-09","1996-09-06","1996-08-13","Morgenstern Gesundkost","Produce","Germany","Rössle Sauerkraut","0"
10277,"1996-08-09","1996-09-06","1996-08-13","Morgenstern Gesundkost","Confections","Germany","Tarte au sucre","0"
10278,"1996-08-12","1996-09-09","1996-08-16","Berglunds snabbköp","Condiments","Sweden","Gula Malacca","0"
10278,"1996-08-12","1996-09-09","1996-08-16","Berglunds snabbköp","Dairy Products","Sweden","Raclette Courdavault","0"
10278,"1996-08-12","1996-09-09","1996-08-16","Berglunds snabbköp","Condiments","Sweden","Vegie-spread","0"
10278,"1996-08-12","1996-09-09","1996-08-16","Berglunds snabbköp","Seafood","Sweden","Röd Kaviar","0"
10279,"1996-08-13","1996-09-10","1996-08-16","Lehmanns Marktstand","Meat/Poultry","Germany","Alice Mutton","0.25"
10280,"1996-08-14","1996-09-11","1996-09-12","Berglunds snabbköp","Beverages","Sweden","Guaraná Fantástica","0"
10280,"1996-08-14","1996-09-11","1996-09-12","Berglunds snabbköp","Meat/Poultry","Sweden","Pâté chinois","0"
10280,"1996-08-14","1996-09-11","1996-09-12","Berglunds snabbköp","Beverages","Sweden","Rhönbräu Klosterbier","0"
10281,"1996-08-14","1996-08-28","1996-08-21","Romero y tomillo","Confections","Spain","Teatime Chocolate Biscuits","0"
10281,"1996-08-14","1996-08-28","1996-08-21","Romero y tomillo","Beverages","Spain","Guaraná Fantástica","0"
10281,"1996-08-14","1996-08-28","1996-08-21","Romero y tomillo","Beverages","Spain","Steeleye Stout","0"
10282,"1996-08-15","1996-09-12","1996-08-21","Romero y tomillo","Seafood","Spain","Nord-Ost Matjeshering","0"
10282,"1996-08-15","1996-09-12","1996-08-21","Romero y tomillo","Grains/Cereals","Spain","Ravioli Angelo","0"
10283,"1996-08-16","1996-09-13","1996-08-23","LILA-Supermercado","Condiments","Venezuela","Genen Shouyu","0"
10283,"1996-08-16","1996-09-13","1996-08-23","LILA-Supermercado","Confections","Venezuela","Teatime Chocolate Biscuits","0"
10283,"1996-08-16","1996-09-13","1996-08-23","LILA-Supermercado","Dairy Products","Venezuela","Camembert Pierrot","0"
10283,"1996-08-16","1996-09-13","1996-08-23","LILA-Supermercado","Dairy Products","Venezuela","Mozzarella di Giovanni","0"
10284,"1996-08-19","1996-09-16","1996-08-27","Lehmanns Marktstand","Confections","Germany","Schoggi Schokolade","0.25"
10284,"1996-08-19","1996-09-16","1996-08-27","Lehmanns Marktstand","Condiments","Germany","Gula Malacca","0"
10284,"1996-08-19","1996-09-16","1996-08-27","Lehmanns Marktstand","Dairy Products","Germany","Camembert Pierrot","0.25"
10284,"1996-08-19","1996-09-16","1996-08-27","Lehmanns Marktstand","Beverages","Germany","Laughing Lumberjack Lager","0.25"
10285,"1996-08-20","1996-09-17","1996-08-26","QUICK-Stop","Beverages","Germany","Chai","0.2"
10285,"1996-08-20","1996-09-17","1996-08-26","QUICK-Stop","Seafood","Germany","Boston Crab Meat","0.2"
10285,"1996-08-20","1996-09-17","1996-08-26","QUICK-Stop","Meat/Poultry","Germany","Perth Pasties","0.2"
10286,"1996-08-21","1996-09-18","1996-08-30","QUICK-Stop","Beverages","Germany","Steeleye Stout","0"
10286,"1996-08-21","1996-09-18","1996-08-30","QUICK-Stop","Confections","Germany","Tarte au sucre","0"
10287,"1996-08-22","1996-09-19","1996-08-28","Ricardo Adocicados","Confections","Brazil","Pavlova","0.15"
10287,"1996-08-22","1996-09-19","1996-08-28","Ricardo Adocicados","Beverages","Brazil","Sasquatch Ale","0"
10287,"1996-08-22","1996-09-19","1996-08-28","Ricardo Adocicados","Seafood","Brazil","Spegesild","0.15"
10288,"1996-08-23","1996-09-20","1996-09-03","Reggiani Caseifici","Meat/Poultry","Italy","Tourtière","0.1"
10288,"1996-08-23","1996-09-20","1996-09-03","Reggiani Caseifici","Confections","Italy","Scottish Longbreads","0.1"
10289,"1996-08-26","1996-09-23","1996-08-28","B's Beverages","Condiments","UK","Aniseed Syrup","0"
10289,"1996-08-26","1996-09-23","1996-08-28","B's Beverages","Grains/Cereals","UK","Wimmers gute Semmelknödel","0"
10290,"1996-08-27","1996-09-24","1996-09-03","Comércio Mineiro","Condiments","Brazil","Chef Anton's Gumbo Mix","0"
10290,"1996-08-27","1996-09-24","1996-09-03","Comércio Mineiro","Meat/Poultry","Brazil","Thüringer Rostbratwurst","0"
10290,"1996-08-27","1996-09-24","1996-09-03","Comércio Mineiro","Confections","Brazil","Maxilaku","0"
10290,"1996-08-27","1996-09-24","1996-09-03","Comércio Mineiro","Condiments","Brazil","Original Frankfurter grüne Soße","0"
10291,"1996-08-27","1996-09-24","1996-09-04","Que Delícia","Seafood","Brazil","Konbu","0.1"
10291,"1996-08-27","1996-09-24","1996-09-04","Que Delícia","Condiments","Brazil","Gula Malacca","0.1"
10291,"1996-08-27","1996-09-24","1996-09-04","Que Delícia","Produce","Brazil","Manjimup Dried Apples","0.1"
10292,"1996-08-28","1996-09-25","1996-09-02","Tradição Hipermercados","Confections","Brazil","Sir Rodney's Marmalade","0"
10293,"1996-08-29","1996-09-26","1996-09-11","Tortuga Restaurante","Seafood","Mexico","Carnarvon Tigers","0"
10293,"1996-08-29","1996-09-26","1996-09-11","Tortuga Restaurante","Beverages","Mexico","Guaraná Fantástica","0"
10293,"1996-08-29","1996-09-26","1996-09-11","Tortuga Restaurante","Condiments","Mexico","Vegie-spread","0"
10293,"1996-08-29","1996-09-26","1996-09-11","Tortuga Restaurante","Beverages","Mexico","Rhönbräu Klosterbier","0"
10294,"1996-08-30","1996-09-27","1996-09-05","Rattlesnake Canyon Grocery","Beverages","USA","Chai","0"
10294,"1996-08-30","1996-09-27","1996-09-05","Rattlesnake Canyon Grocery","Meat/Poultry","USA","Alice Mutton","0"
10294,"1996-08-30","1996-09-27","1996-09-05","Rattlesnake Canyon Grocery","Beverages","USA","Ipoh Coffee","0"
10294,"1996-08-30","1996-09-27","1996-09-05","Rattlesnake Canyon Grocery","Dairy Products","USA","Camembert Pierrot","0"
10294,"1996-08-30","1996-09-27","1996-09-05","Rattlesnake Canyon Grocery","Beverages","USA","Rhönbräu Klosterbier","0"
10295,"1996-09-02","1996-09-30","1996-09-10","Vins et alcools Chevalier","Grains/Cereals","France","Gnocchi di nonna Alice","0"
10296,"1996-09-03","1996-10-01","1996-09-11","LILA-Supermercado","Dairy Products","Venezuela","Queso Cabrales","0"
10296,"1996-09-03","1996-10-01","1996-09-11","LILA-Supermercado","Confections","Venezuela","Pavlova","0"
10296,"1996-09-03","1996-10-01","1996-09-11","LILA-Supermercado","Dairy Products","Venezuela","Gudbrandsdalsost","0"
10297,"1996-09-04","1996-10-16","1996-09-10","Blondesddsl père et fils","Beverages","France","Chartreuse verte","0"
10297,"1996-09-04","1996-10-16","1996-09-10","Blondesddsl père et fils","Dairy Products","France","Mozzarella di Giovanni","0"
10298,"1996-09-05","1996-10-03","1996-09-11","Hungry Owl All-Night Grocers","Beverages","Ireland","Chang","0"
10298,"1996-09-05","1996-10-03","1996-09-11","Hungry Owl All-Night Grocers","Seafood","Ireland","Inlagd Sill","0.25"
10298,"1996-09-05","1996-10-03","1996-09-11","Hungry Owl All-Night Grocers","Dairy Products","Ireland","Raclette Courdavault","0.25"
10298,"1996-09-05","1996-10-03","1996-09-11","Hungry Owl All-Night Grocers","Confections","Ireland","Tarte au sucre","0"
10299,"1996-09-06","1996-10-04","1996-09-13","Ricardo Adocicados","Confections","Brazil","Teatime Chocolate Biscuits","0"
10299,"1996-09-06","1996-10-04","1996-09-13","Ricardo Adocicados","Beverages","Brazil","Outback Lager","0"
10300,"1996-09-09","1996-10-07","1996-09-18","Magazzini Alimentari Riuniti","Condiments","Italy","Louisiana Hot Spiced Okra","0"
10300,"1996-09-09","1996-10-07","1996-09-18","Magazzini Alimentari Riuniti","Confections","Italy","Scottish Longbreads","0"
10301,"1996-09-09","1996-10-07","1996-09-17","Die Wandernde Kuh","Seafood","Germany","Boston Crab Meat","0"
10301,"1996-09-09","1996-10-07","1996-09-17","Die Wandernde Kuh","Grains/Cereals","Germany","Gnocchi di nonna Alice","0"
10302,"1996-09-10","1996-10-08","1996-10-09","Suprêmes délices","Meat/Poultry","Belgium","Alice Mutton","0"
10302,"1996-09-10","1996-10-08","1996-10-09","Suprêmes délices","Produce","Belgium","Rössle Sauerkraut","0"
10302,"1996-09-10","1996-10-08","1996-10-09","Suprêmes délices","Beverages","Belgium","Ipoh Coffee","0"
10303,"1996-09-11","1996-10-09","1996-09-18","Godos Cocina Típica","Seafood","Spain","Boston Crab Meat","0.1"
10303,"1996-09-11","1996-10-09","1996-09-18","Godos Cocina Típica","Condiments","Spain","Louisiana Fiery Hot Pepper Sauce","0.1"
10303,"1996-09-11","1996-10-09","1996-09-18","Godos Cocina Típica","Confections","Spain","Scottish Longbreads","0.1"
10304,"1996-09-12","1996-10-10","1996-09-17","Tortuga Restaurante","Confections","Mexico","Maxilaku","0"
10304,"1996-09-12","1996-10-10","1996-09-17","Tortuga Restaurante","Dairy Products","Mexico","Raclette Courdavault","0"
10304,"1996-09-12","1996-10-10","1996-09-17","Tortuga Restaurante","Dairy Products","Mexico","Flotemysost","0"
10305,"1996-09-13","1996-10-11","1996-10-09","Old World Delicatessen","Seafood","USA","Carnarvon Tigers","0.1"
10305,"1996-09-13","1996-10-11","1996-10-09","Old World Delicatessen","Meat/Poultry","USA","Thüringer Rostbratwurst","0.1"
10305,"1996-09-13","1996-10-11","1996-10-09","Old World Delicatessen","Beverages","USA","Chartreuse verte","0.1"
10306,"1996-09-16","1996-10-14","1996-09-23","Romero y tomillo","Seafood","Spain","Nord-Ost Matjeshering","0"
10306,"1996-09-16","1996-10-14","1996-09-23","Romero y tomillo","Meat/Poultry","Spain","Perth Pasties","0"
10306,"1996-09-16","1996-10-14","1996-09-23","Romero y tomillo","Meat/Poultry","Spain","Tourtière","0"
10307,"1996-09-17","1996-10-15","1996-09-25","Lonesome Pine Restaurant","Confections","USA","Tarte au sucre","0"
10307,"1996-09-17","1996-10-15","1996-09-25","Lonesome Pine Restaurant","Confections","USA","Scottish Longbreads","0"
10308,"1996-09-18","1996-10-16","1996-09-24","Ana Trujillo Emparedados y helados","Dairy Products","Mexico","Gudbrandsdalsost","0"
10308,"1996-09-18","1996-10-16","1996-09-24","Ana Trujillo Emparedados y helados","Beverages","Mexico","Outback Lager","0"
10309,"1996-09-19","1996-10-17","1996-10-23","Hungry Owl All-Night Grocers","Condiments","Ireland","Chef Anton's Cajun Seasoning","0"
10309,"1996-09-19","1996-10-17","1996-10-23","Hungry Owl All-Night Grocers","Condiments","Ireland","Grandma's Boysenberry Spread","0"
10309,"1996-09-19","1996-10-17","1996-10-23","Hungry Owl All-Night Grocers","Grains/Cereals","Ireland","Singaporean Hokkien Fried Mee","0"
10309,"1996-09-19","1996-10-17","1996-10-23","Hungry Owl All-Night Grocers","Beverages","Ireland","Ipoh Coffee","0"
10309,"1996-09-19","1996-10-17","1996-10-23","Hungry Owl All-Night Grocers","Dairy Products","Ireland","Flotemysost","0"
10310,"1996-09-20","1996-10-18","1996-09-27","The Big Cheese","Confections","USA","Pavlova","0"
10310,"1996-09-20","1996-10-18","1996-09-27","The Big Cheese","Confections","USA","Tarte au sucre","0"
10311,"1996-09-20","1996-10-04","1996-09-26","Du monde entier","Grains/Cereals","France","Singaporean Hokkien Fried Mee","0"
10311,"1996-09-20","1996-10-04","1996-09-26","Du monde entier","Dairy Products","France","Gudbrandsdalsost","0"
10312,"1996-09-23","1996-10-21","1996-10-03","Die Wandernde Kuh","Produce","Germany","Rössle Sauerkraut","0"
10312,"1996-09-23","1996-10-21","1996-10-03","Die Wandernde Kuh","Beverages","Germany","Ipoh Coffee","0"
10312,"1996-09-23","1996-10-21","1996-10-03","Die Wandernde Kuh","Meat/Poultry","Germany","Perth Pasties","0"
10312,"1996-09-23","1996-10-21","1996-10-03","Die Wandernde Kuh","Beverages","Germany","Rhönbräu Klosterbier","0"
10313,"1996-09-24","1996-10-22","1996-10-04","QUICK-Stop","Seafood","Germany","Inlagd Sill","0"
10314,"1996-09-25","1996-10-23","1996-10-04","Rattlesnake Canyon Grocery","Dairy Products","USA","Mascarpone Fabioli","0.1"
10314,"1996-09-25","1996-10-23","1996-10-04","Rattlesnake Canyon Grocery","Seafood","USA","Escargots de Bourgogne","0.1"
10314,"1996-09-25","1996-10-23","1996-10-04","Rattlesnake Canyon Grocery","Confections","USA","Tarte au sucre","0.1"
10315,"1996-09-26","1996-10-24","1996-10-03","Island Trading","Beverages","UK","Sasquatch Ale","0"
10315,"1996-09-26","1996-10-24","1996-10-03","Island Trading","Beverages","UK","Outback Lager","0"
10316,"1996-09-27","1996-10-25","1996-10-08","Rattlesnake Canyon Grocery","Seafood","USA","Jack's New England Clam Chowder","0"
10316,"1996-09-27","1996-10-25","1996-10-08","Rattlesnake Canyon Grocery","Confections","USA","Tarte au sucre","0"
10317,"1996-09-30","1996-10-28","1996-10-10","Lonesome Pine Restaurant","Beverages","USA","Chai","0"
10318,"1996-10-01","1996-10-29","1996-10-04","Island Trading","Seafood","UK","Jack's New England Clam Chowder","0"
10318,"1996-10-01","1996-10-29","1996-10-04","Island Trading","Beverages","UK","Lakkalikööri","0"
10319,"1996-10-02","1996-10-30","1996-10-11","Tortuga Restaurante","Meat/Poultry","Mexico","Alice Mutton","0"
10319,"1996-10-02","1996-10-30","1996-10-11","Tortuga Restaurante","Produce","Mexico","Rössle Sauerkraut","0"
10319,"1996-10-02","1996-10-30","1996-10-11","Tortuga Restaurante","Beverages","Mexico","Lakkalikööri","0"
10320,"1996-10-03","1996-10-17","1996-10-18","Wartian Herkku","Dairy Products","Finland","Flotemysost","0"
10321,"1996-10-03","1996-10-31","1996-10-11","Island Trading","Beverages","UK","Steeleye Stout","0"
10322,"1996-10-04","1996-11-01","1996-10-23","Pericles Comidas clásicas","Grains/Cereals","Mexico","Filo Mix","0"
10323,"1996-10-07","1996-11-04","1996-10-14","Königlich Essen","Condiments","Germany","Genen Shouyu","0"
10323,"1996-10-07","1996-11-04","1996-10-14","Königlich Essen","Confections","Germany","NuNuCa Nuß-Nougat-Creme","0"
10323,"1996-10-07","1996-11-04","1996-10-14","Königlich Essen","Beverages","Germany","Chartreuse verte","0"
10324,"1996-10-08","1996-11-05","1996-10-10","Save-a-lot Markets","Confections","USA","Pavlova","0.15"
10324,"1996-10-08","1996-11-05","1996-10-10","Save-a-lot Markets","Beverages","USA","Steeleye Stout","0.15"
10324,"1996-10-08","1996-11-05","1996-10-10","Save-a-lot Markets","Seafood","USA","Spegesild","0"
10324,"1996-10-08","1996-11-05","1996-10-10","Save-a-lot Markets","Dairy Products","USA","Raclette Courdavault","0.15"
10324,"1996-10-08","1996-11-05","1996-10-10","Save-a-lot Markets","Condiments","USA","Vegie-spread","0.15"
10325,"1996-10-09","1996-10-23","1996-10-14","Königlich Essen","Condiments","Germany","Grandma's Boysenberry Spread","0"
10325,"1996-10-09","1996-10-23","1996-10-14","Königlich Essen","Seafood","Germany","Konbu","0"
10325,"1996-10-09","1996-10-23","1996-10-14","Königlich Essen","Produce","Germany","Tofu","0"
10325,"1996-10-09","1996-10-23","1996-10-14","Königlich Essen","Dairy Products","Germany","Gorgonzola Telino","0"
10325,"1996-10-09","1996-10-23","1996-10-14","Königlich Essen","Dairy Products","Germany","Mozzarella di Giovanni","0"
10326,"1996-10-10","1996-11-07","1996-10-14","Bólido Comidas preparadas","Condiments","Spain","Chef Anton's Cajun Seasoning","0"
10326,"1996-10-10","1996-11-07","1996-10-14","Bólido Comidas preparadas","Grains/Cereals","Spain","Ravioli Angelo","0"
10326,"1996-10-10","1996-11-07","1996-10-14","Bólido Comidas preparadas","Beverages","Spain","Rhönbräu Klosterbier","0"
10327,"1996-10-11","1996-11-08","1996-10-14","Folk och fä HB","Beverages","Sweden","Chang","0.2"
10327,"1996-10-11","1996-11-08","1996-10-14","Folk och fä HB","Dairy Products","Sweden","Queso Cabrales","0.2"
10327,"1996-10-11","1996-11-08","1996-10-14","Folk och fä HB","Seafood","Sweden","Nord-Ost Matjeshering","0.2"
10327,"1996-10-11","1996-11-08","1996-10-14","Folk och fä HB","Seafood","Sweden","Escargots de Bourgogne","0.2"
10328,"1996-10-14","1996-11-11","1996-10-17","Furia Bacalhau e Frutos do Mar","Dairy Products","Portugal","Raclette Courdavault","0"
10328,"1996-10-14","1996-11-11","1996-10-17","Furia Bacalhau e Frutos do Mar","Condiments","Portugal","Louisiana Fiery Hot Pepper Sauce","0"
10328,"1996-10-14","1996-11-11","1996-10-17","Furia Bacalhau e Frutos do Mar","Confections","Portugal","Scottish Longbreads","0"
10329,"1996-10-15","1996-11-26","1996-10-23","Split Rail Beer & Ale","Confections","USA","Teatime Chocolate Biscuits","0.05"
10329,"1996-10-15","1996-11-26","1996-10-23","Split Rail Beer & Ale","Seafood","USA","Nord-Ost Matjeshering","0.05"
10329,"1996-10-15","1996-11-26","1996-10-23","Split Rail Beer & Ale","Beverages","USA","Côte de Blaye","0.05"
10329,"1996-10-15","1996-11-26","1996-10-23","Split Rail Beer & Ale","Grains/Cereals","USA","Gnocchi di nonna Alice","0.05"
10330,"1996-10-16","1996-11-13","1996-10-28","LILA-Supermercado","Confections","Venezuela","Gumbär Gummibärchen","0.15"
10330,"1996-10-16","1996-11-13","1996-10-28","LILA-Supermercado","Dairy Products","Venezuela","Mozzarella di Giovanni","0.15"
10331,"1996-10-16","1996-11-27","1996-10-21","Bon app'","Meat/Poultry","France","Tourtière","0"
10332,"1996-10-17","1996-11-28","1996-10-21","Mère Paillarde","Seafood","Canada","Carnarvon Tigers","0.2"
10332,"1996-10-17","1996-11-28","1996-10-21","Mère Paillarde","Grains/Cereals","Canada","Singaporean Hokkien Fried Mee","0.2"
10332,"1996-10-17","1996-11-28","1996-10-21","Mère Paillarde","Confections","Canada","Zaanse koeken","0.2"
10333,"1996-10-18","1996-11-15","1996-10-25","Wartian Herkku","Produce","Finland","Tofu","0"
10333,"1996-10-18","1996-11-15","1996-10-25","Wartian Herkku","Confections","Finland","Sir Rodney's Scones","0.1"
10333,"1996-10-18","1996-11-15","1996-10-25","Wartian Herkku","Dairy Products","Finland","Flotemysost","0.1"
10334,"1996-10-21","1996-11-18","1996-10-28","Victuailles en stock","Grains/Cereals","France","Filo Mix","0"
10334,"1996-10-21","1996-11-18","1996-10-28","Victuailles en stock","Confections","France","Scottish Longbreads","0"
10335,"1996-10-22","1996-11-19","1996-10-24","Hungry Owl All-Night Grocers","Beverages","Ireland","Chang","0.2"
